,name,wl,opponent,finish,date,location,weight,moneyline,bet_outcome,nationality,Lstreak,WinTKO,WinDecision
0,Raquel Pennington,0,Holly Holm,Decision,2015-02-28,"Los Angeles, California",Bantamweight,335.0,-100.0,American,0.0,0.0,1.0
1,Raquel Pennington,1,Ashlee Evans-Smith,Submission,2014-12-06,"Las Vegas, Nevada",Bantamweight,140.0,140.0,American,1.0,0.0,1.0
2,Raquel Pennington,0,Jessica Andrade,Decision,2014-03-15,"Dallas, Texas",Bantamweight,130.0,-100.0,American,0.0,0.0,1.0
3,Raquel Pennington,1,Roxanne Modafferi,Decision,2013-11-30,"Las Vegas, Nevada",Bantamweight,-230.0,100.0,American,0.0,0.0,0.0
4,Chris Camozzi,1,Tom Watson,Decision,2015-08-08,"Nashville, Tennessee",Middleweight,-175.0,100.0,American,5.0,1.0,4.0
5,Chris Camozzi,0,Ronaldo Souza,Submission,2015-04-18,"Newark, New Jersey",Middleweight,550.0,-100.0,American,4.0,1.0,4.0
6,Chris Camozzi,0,Rafael Natal,Decision,2014-09-05,"Ledyard, Connecticut",Middleweight,170.0,-100.0,American,3.0,1.0,4.0
7,Chris Camozzi,0,Bruno Santos,Decision,2014-07-05,"Las Vegas, Nevada",Middleweight,-260.0,-260.0,American,2.0,1.0,4.0
8,Chris Camozzi,0,Lorenz Larkin,Decision,2013-11-06,"Fort Campbell, Kentucky",Middleweight,220.0,-100.0,American,1.0,1.0,4.0
9,Chris Camozzi,0,Ronaldo Souza,Submission,2013-05-18,Jaragua do Sul,Middleweight,350.0,-100.0,American,0.0,1.0,4.0
10,Chris Camozzi,1,Nick Ring,Decision,2013-03-16,"Montreal, Quebec",Middleweight,140.0,140.0,American,0.0,1.0,3.0
11,Chris Camozzi,1,Luiz Cane,Decision,2012-10-13,Rio de Janeiro,Middleweight,140.0,140.0,American,0.0,1.0,2.0
12,Chris Camozzi,1,Nick Catone,TKO,2012-06-22,"Atlantic City, New Jersey",Middleweight,135.0,135.0,American,0.0,0.0,2.0
13,Chris Camozzi,1,Dustin Jacoby,Submission,2012-01-28,"Chicago, Illinois",Middleweight,-210.0,100.0,American,2.0,0.0,2.0
14,Chris Camozzi,0,Francis Carmont,Decision,2011-10-29,"Las Vegas, Nevada",Middleweight,-125.0,-125.0,American,1.0,0.0,2.0
15,Chris Camozzi,0,Kyle Noke,Submission,2011-02-27,Sydney,Middleweight,120.0,-100.0,American,0.0,0.0,2.0
16,Chris Camozzi,1,Yang Dongi,Decision,2010-10-23,"Anaheim, California",Middleweight,-110.0,100.0,American,0.0,0.0,1.0
17,Chris Camozzi,1,James Hammortree,Decision,2010-06-19,"Las Vegas, Nevada",Middleweight,-125.0,100.0,American,0.0,0.0,0.0
18,Donny Walker,0,Ken Stone,Submission,2011-09-17,"New Orleans, Louisiana",Bantamweight/Featherweight,100.0,-100.0,American,1.0,0.0,0.0
19,Donny Walker,0,Jeff Hougland,Decision,2011-07-02,Las Vegas,Bantamweight/Featherweight,-230.0,-230.0,American,0.0,0.0,0.0
20,Travis Browne,0,Andrei Arlovski,TKO,2015-05-23,"Las Vegas, Nevada",Heavyweight,-405.0,-405.0,American,0.0,6.0,1.0
21,Travis Browne,1,Brendan Schaub,TKO,2014-12-06,"Las Vegas, Nevada",Heavyweight,-333.0,100.0,American,1.0,5.0,1.0
22,Travis Browne,0,Fabricio Werdum,Decision,2014-04-19,"Orlando, Florida",Heavyweight,-210.0,-210.0,American,0.0,5.0,1.0
23,Travis Browne,1,Josh Barnett,TKO,2013-12-28,"Las Vegas, Nevada",Heavyweight,150.0,150.0,American,0.0,4.0,1.0
24,Travis Browne,1,Alistair Overeem,TKO,2013-08-17,"Boston, Massachusetts",Heavyweight,190.0,190.0,American,0.0,3.0,1.0
25,Travis Browne,1,Gabriel Gonzaga,TKO,2013-04-13,Las Vegas,Heavyweight,-210.0,100.0,American,1.0,2.0,1.0
26,Travis Browne,0,Antonio Silva,TKO,2012-10-05,"Minneapolis, Minnesota",Heavyweight,-280.0,-280.0,American,0.0,2.0,1.0
27,Travis Browne,1,Chad Griggs,Submission,2012-04-21,"Atlanta, Georgia",Heavyweight,-155.0,100.0,American,0.0,2.0,1.0
28,Travis Browne,1,Rob Broughton,Decision,2011-09-24,"Denver, Colorado",Heavyweight,-400.0,100.0,American,0.0,2.0,0.0
29,Travis Browne,1,Stefan Struve,TKO,2011-05-28,Las Vegas,Heavyweight,-140.0,100.0,American,0.0,1.0,0.0
31,Travis Browne,1,James McSweeney,TKO,2010-06-19,Las Vegas,Heavyweight,-145.0,100.0,American,0.0,0.0,0.0
32,Darrell Montague,0,Willie Gates,TKO,2015-07-12,"Las Vegas, Nevada",Bantamweight/Flyweight,-165.0,-165.0,American,2.0,0.0,0.0
33,Darrell Montague,0,Kyoji Horiguchi,Decision,2014-05-10,"Cincinnati, Ohio",Bantamweight/Flyweight,130.0,-100.0,American,1.0,0.0,0.0
34,Darrell Montague,0,John Dodson,TKO,2013-10-19,"Houston, Texas",Bantamweight/Flyweight,200.0,-100.0,American,0.0,0.0,0.0
35,Sam Sicilia,1,Yaotzin Meza,Decision,2015-07-15,"San Diego, California",Featherweight/Lightweight,-190.0,100.0,American,0.0,3.0,1.0
36,Sam Sicilia,1,Akira Corassani,TKO,2015-01-24,Stockholm,Featherweight/Lightweight,100.0,100.0,American,1.0,2.0,1.0
37,Sam Sicilia,0,Katsunori Kikuno,Submission,2014-09-20,Saitama,Featherweight/Lightweight,150.0,-100.0,American,0.0,2.0,1.0
38,Sam Sicilia,1,Aaron Phillips,Decision,2014-05-24,"Las Vegas, Nevada",Featherweight/Lightweight,-165.0,100.0,American,1.0,2.0,0.0
39,Sam Sicilia,0,Cole Miller,Submission,2014-01-15,"Duluth, Georgia",Featherweight/Lightweight,125.0,-100.0,American,0.0,2.0,0.0
40,Sam Sicilia,1,Godofredo Pepey,TKO,2013-11-09,Goiania,Featherweight/Lightweight,-190.0,100.0,American,2.0,1.0,0.0
41,Sam Sicilia,0,Maximo Blanco,Decision,2013-04-13,"Las Vegas, Nevada",Featherweight/Lightweight,185.0,-100.0,American,1.0,1.0,0.0
42,Sam Sicilia,0,Rony Jason,TKO,2012-10-13,Rio de Janeiro,Featherweight/Lightweight,205.0,-100.0,American,0.0,1.0,0.0
43,Sam Sicilia,1,Cristiano Marcello,TKO,2012-06-01,"Las Vegas, Nevada",Featherweight/Lightweight,-115.0,100.0,American,0.0,0.0,0.0
44,Ovince Saint Preux,0,Glover Teixeira,Submission,2015-08-08,"Nashville, Tennessee",Light Heavyweight/Heavyweight,100.0,-100.0,American,0.0,3.0,1.0
45,Ovince Saint Preux,1,Patrick Cummins,TKO,2015-04-18,"Newark, New Jersey",Light Heavyweight/Heavyweight,100.0,100.0,American,0.0,2.0,1.0
46,Ovince Saint Preux,1,Mauricio Rua,TKO,2014-11-08,Uberlandia,Light Heavyweight/Heavyweight,120.0,120.0,American,1.0,1.0,1.0
47,Ovince Saint Preux,0,Ryan Bader,Decision,2014-08-16,"Bangor, Maine",Light Heavyweight/Heavyweight,160.0,-100.0,American,0.0,1.0,1.0
48,Ovince Saint Preux,1,Ryan Jimmo,Submission,2014-06-14,"Vancouver, British Columbia",Light Heavyweight/Heavyweight,-170.0,100.0,American,0.0,1.0,1.0
49,Ovince Saint Preux,1,Nikita Krylov,Submission,2014-03-15,"Dallas, Texas",Light Heavyweight/Heavyweight,-280.0,100.0,American,0.0,1.0,1.0
50,Ovince Saint Preux,1,Cody Donovan,TKO,2013-08-17,"Boston, Massachusetts",Light Heavyweight/Heavyweight,-225.0,100.0,American,0.0,0.0,1.0
51,Ovince Saint Preux,1,Gian Villante,Decision,2013-04-27,"Newark, New Jersey",Light Heavyweight/Heavyweight,-175.0,100.0,American,0.0,0.0,0.0
52,Edgar Garcia,0,Hector Urbina,Submission,2014-11-15,Mexico City,Welterweight/Middleweight,-270.0,-270.0,Mexican,2.0,0.0,0.0
53,Edgar Garcia,0,DaMarques Johnson,Submission,2009-12-12,"Memphis, Tennessee",Welterweight/Middleweight,-315.0,-315.0,Mexican,1.0,0.0,0.0
54,Edgar Garcia,0,Brad Blackburn,Decision,2009-06-20,"Las Vegas, Nevada",Welterweight/Middleweight,-115.0,-115.0,Mexican,0.0,0.0,0.0
55,Costas Philippou,0,Gegard Mousasi,Decision,2015-05-16,Pasay,Middleweight/Light Heavyweight/Heavyweight,365.0,-100.0,missing,0.0,3.0,3.0
56,Costas Philippou,1,Lorenz Larkin,TKO,2014-05-10,"Cincinnati, Ohio",Middleweight/Light Heavyweight/Heavyweight,160.0,160.0,missing,2.0,2.0,3.0
57,Costas Philippou,0,Luke Rockhold,TKO,2014-01-15,"Duluth, Georgia",Middleweight/Light Heavyweight/Heavyweight,285.0,-100.0,missing,1.0,2.0,3.0
58,Costas Philippou,0,Francis Carmont,Decision,2013-09-21,"Toronto, Ontario",Middleweight/Light Heavyweight/Heavyweight,-175.0,-175.0,missing,0.0,2.0,3.0
59,Costas Philippou,1,Tim Boetsch,TKO,2012-12-29,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,105.0,105.0,missing,0.0,1.0,3.0
60,Costas Philippou,1,Riki Fukuda,Decision,2012-07-07,"Las Vegas, Nevada",Middleweight/Light Heavyweight/Heavyweight,-175.0,100.0,missing,0.0,1.0,2.0
61,Costas Philippou,1,Court McGee,Decision,2012-03-03,Sydney,Middleweight/Light Heavyweight/Heavyweight,-170.0,100.0,missing,0.0,1.0,1.0
62,Costas Philippou,1,Jared Hamman,TKO,2011-12-10,Toronto,Middleweight/Light Heavyweight/Heavyweight,215.0,215.0,missing,0.0,0.0,1.0
63,Costas Philippou,1,Jorge Rivera,Decision,2011-08-06,"Philadelphia, Pennsylvania",Middleweight/Light Heavyweight/Heavyweight,145.0,145.0,missing,1.0,0.0,0.0
64,Costas Philippou,0,Nick Catone,Decision,2011-03-19,"Newark, New Jersey",Middleweight/Light Heavyweight/Heavyweight,200.0,-100.0,missing,0.0,0.0,0.0
65,Nate Loughran,0,Tim Credeur,TKO,2008-12-10,"Fayetteville, North Carolina",Welterweight,120.0,-100.0,American,0.0,0.0,0.0
66,Nate Loughran,1,Johnny Rees,Submission,2008-07-19,"Las Vegas, Nevada",Welterweight,-115.0,100.0,American,0.0,0.0,0.0
67,Dan Lauzon,0,Efrain Escudero,Decision,2010-05-29,"Las Vegas, Nevada, United States",Lightweight,300.0,-100.0,American,1.0,0.0,0.0
68,Dan Lauzon,0,Cole Miller,Submission,2010-01-02,"Las Vegas, Nevada, United States",Lightweight,155.0,-100.0,American,0.0,0.0,0.0
71,Jesse Lennox,0,Mike Pyle,Submission,2010-06-12,"Vancouver, British Columbia",Welterweight,-115.0,-115.0,American,1.0,1.0,0.0
72,Jesse Lennox,0,Rick Story,Decision,2010-01-11,"Fairfax, Virginia",Welterweight,195.0,-100.0,American,0.0,1.0,0.0
73,Jesse Lennox,1,Danillo Villefort,TKO,2009-08-08,"Philadelphia, Pennsylvania",Welterweight,170.0,170.0,American,0.0,0.0,0.0
74,Jessica Andrade,1,Sarah Moras,Decision,2015-07-15,"San Diego, California",Bantamweight,-315.0,100.0,Brazilian,1.0,0.0,2.0
75,Jessica Andrade,0,Marion Reneau,Submission,2015-02-22,Porto Alegre,Bantamweight,-190.0,-190.0,Brazilian,0.0,0.0,2.0
76,Jessica Andrade,1,Larissa Pacheco,Submission,2014-09-13,Brasilia,Bantamweight,-195.0,100.0,Brazilian,0.0,0.0,2.0
77,Jessica Andrade,1,Raquel Pennington,Decision,2014-03-15,"Dallas, Texas",Bantamweight,-170.0,100.0,Brazilian,0.0,0.0,1.0
78,Jessica Andrade,1,Rosi Sexton,Decision,2013-10-26,Manchester,Bantamweight,-200.0,100.0,Brazilian,1.0,0.0,0.0
79,Jessica Andrade,0,Liz Carmouche,TKO,2013-07-27,"Seattle, Washington",Bantamweight,435.0,-100.0,Brazilian,0.0,0.0,0.0
80,Cain Carrizosa,0,Leonardo Mafra,Decision,2015-03-21,Rio de Janeiro,Lightweight,110.0,-100.0,American,1.0,0.0,0.0
